Unique ID,feature_name,Honorees,City,County,State,Side,Coordinates,Symbol Type,Sponsors,Year Dedicated,Year Removed,Tracking Status,Removed After Charlottesville,Symbol Location,Symbol Type Other
1023,Stonewall Jackson Drive,"Thomas Jonathan ""Stonewall"" Jackson",Elizabethton,Carter,TN,South,"36.351793,-82.246399",Roadway,Unknown,,,Live,0,,
1857,Alleghany County Confederate Monument,No specific honoree,Covington,Alleghany,VA,South,"37.792500,-79.995750",Monument,United Daughters of the Confederacy,1911,,Live,0,Courthouse grounds,
1275,Stonewall Street,"Thomas Jonathan ""Stonewall"" Jackson",New Market,Shenandoah,VA,South,"38.642949,-78.676616",Roadway,Unknown,,,Live,0,,
1441,Confederate Monument,No specific honoree,Louisa,Louisa,VA,South,"38.024617,-78.003317",Monument,United Confederate Veterans,1905,,Live,0,Courthouse grounds,
1276,Stuart Street,"James Ewell Brown ""Jeb"" Stuart",New Market,Shenandoah,VA,South,"38.645060,-78.672858",Roadway,Unknown,,,Live,0,,
1442,Confederate Monument,No specific honoree,Lovingston,Nelson,VA,South,"37.760098,-78.869542",Monument,Unknown,1965,,Live,0,Courthouse grounds,
3169,Lee Highway,Robert E. Lee,New Market,Shenandoah,VA,South,"38.647849,-78.658623",Roadway,Unknown,,,Live,0,,
1277,Lee Street,Robert E. Lee,New Market,Shenandoah,VA,South,"38.646007,-78.670980",Roadway,Unknown,,,Live,0,,
5005,Lake Maury Natural Area,Matthew Fontaine Maury,Newport News,Newport News,VA,South,"37.062025,-76.478556",Other,Unknown,,,Live,0,,Park
1321,Lee Highway,Robert E. Lee,Luray,Page,VA,South,"38.672538,-78.466940",Roadway,Unknown,,,Live,0,,
1384,Page County Confederate Monument,No specific honoree,Luray,Page,VA,South,"38.664500,-78.459967",Monument,United Confederate Veterans,1918,,Live,0,,
1443,Confederate Monument,No specific honoree,Lunenburg,Lunenburg,VA,South,"36.961492,-78.265916",Monument,Unknown,1916,,Live,0,Courthouse grounds,
1385,Confederate Monument,No specific honoree,Luray,Page,VA,South,"38.665133,-78.448350",Monument,Unknown,1898,,Live,0,,
1450,Confederate Monument,No specific honoree,Palmyra,Fluvanna,VA,South,"37.860252,-78.264632",Monument,Unknown,1901,,Live,0,Courthouse grounds,
1394,Confederate Monument,No specific honoree,Parksley,Accomack,VA,South,"37.784183,-75.653740",Monument,United Confederate Veterans,1899,,Live,0,,
